Company,Reviewer,Department,Rating,Review,Sentiment,Date,Source
Dunzo,Mohit,Operations,2.7,Frequent layoffs and unclear roles.,Negative,2024-08-26,Glassdoor
Dunzo,Rahul,Operations,4.7,Empathetic leadership and flexible schedules.,Positive,2024-09-23,Glassdoor
Dunzo,Divya,Operations,3.2,Frequent changes in leadership.,Neutral,2024-11-15,AmbitionBox
Dunzo,Meena,Support,3.8,Good experience for entry-level roles.,Neutral,2024-08-18,AmbitionBox
Dunzo,Sneha,Support,4.2,Work from home options available.,Positive,2024-10-14,Glassdoor
Dunzo,Aditi,Delivery,2.9,Company restructuring causes stress.,Negative,2024-09-11,Indeed
Dunzo,Aarav,HR,3.7,Growth path unclear in middle management.,Neutral,2024-08-04,Indeed
Dunzo,Ritu,Tech,3.8,Growth path unclear in middle management.,Neutral,2024-08-31,Indeed
Dunzo,Ajay,Operations,5.0,Work from home options available.,Positive,2024-10-08,Indeed
Dunzo,Nisha,HR,4.5,Great exposure to logistics and city operations.,Positive,2024-10-26,AmbitionBox
Dunzo,Manish,Operations,2.9,High pressure during delivery expansion.,Negative,2024-09-08,AmbitionBox
Dunzo,Isha,HR,4.6,Good culture and collaborative teammates.,Positive,2024-08-04,Indeed
Dunzo,Aarav,Support,4.8,Empathetic leadership and flexible schedules.,Positive,2024-11-28,AmbitionBox
Dunzo,Sakshi,Support,3.0,Average compensation but decent environment.,Neutral,2024-09-17,Indeed
Dunzo,Rohit,Support,4.0,Great exposure to logistics and city operations.,Positive,2024-10-06,Glassdoor
Dunzo,Isha,Support,2.0,Frequent layoffs and unclear roles.,Negative,2024-10-29,AmbitionBox
Dunzo,Rohit,Support,3.0,Good experience for entry-level roles.,Neutral,2024-11-11,Indeed
Dunzo,Rahul,Tech,3.7,Good experience for entry-level roles.,Neutral,2024-09-05,AmbitionBox
Dunzo,Gauri,Support,2.7,Company restructuring causes stress.,Negative,2024-08-29,Glassdoor
Dunzo,Mohit,Operations,4.2,Great exposure to logistics and city operations.,Positive,2024-10-11,Indeed
Dunzo,Sarthak,Delivery,3.4,Growth path unclear in middle management.,Neutral,2024-09-28,Indeed
Dunzo,Neha,HR,3.3,Good experience for entry-level roles.,Neutral,2024-08-12,AmbitionBox
Dunzo,Divya,Delivery,3.2,Average compensation but decent environment.,Neutral,2024-10-28,Glassdoor
Dunzo,Aditi,Operations,4.2,Empathetic leadership and flexible schedules.,Positive,2024-08-03,AmbitionBox
Dunzo,Isha,HR,3.6,Workload varies by project.,Neutral,2024-11-16,Indeed
Dunzo,Riya,HR,3.1,Average compensation but decent environment.,Neutral,2024-08-22,AmbitionBox
Dunzo,Bhavya,Operations,3.9,Average compensation but decent environment.,Neutral,2024-10-08,AmbitionBox
Dunzo,Shreya,Operations,4.8,Work from home options available.,Positive,2024-10-04,AmbitionBox
Dunzo,Ishaan,Support,3.4,Growth path unclear in middle management.,Neutral,2024-11-20,Indeed
Dunzo,Rishabh,Support,3.5,Average compensation but decent environment.,Neutral,2024-09-20,Indeed
Dunzo,Varun,Delivery,3.2,Average compensation but decent environment.,Neutral,2024-08-24,AmbitionBox
Dunzo,Mohit,Support,4.3,Good culture and collaborative teammates.,Positive,2024-08-07,Glassdoor
Dunzo,Anvi,Delivery,3.1,Workload varies by project.,Neutral,2024-09-23,Indeed
Dunzo,Anvi,Tech,4.3,Work from home options available.,Positive,2024-08-15,AmbitionBox
Dunzo,Tanvi,Delivery,4.7,Transparent communication from top management.,Positive,2024-11-12,Glassdoor
Dunzo,Meena,Operations,3.3,Frequent changes in leadership.,Neutral,2024-10-04,AmbitionBox
Dunzo,Alok,Operations,4.0,Average compensation but decent environment.,Neutral,2024-10-26,Indeed
Dunzo,Karan,HR,2.4,Company restructuring causes stress.,Negative,2024-08-10,AmbitionBox
Dunzo,Sarthak,HR,4.3,Empathetic leadership and flexible schedules.,Positive,2024-09-09,AmbitionBox
Dunzo,Riya,Operations,2.1,Management lacks long-term clarity.,Negative,2024-11-02,AmbitionBox
Dunzo,Kunal,Operations,3.3,Growth path unclear in middle management.,Neutral,2024-09-20,Glassdoor
Dunzo,Rohit,Tech,4.1,Great exposure to logistics and city operations.,Positive,2024-10-13,AmbitionBox
Dunzo,Gauri,Operations,3.1,Workload varies by project.,Neutral,2024-09-22,Indeed
Dunzo,Yash,Operations,4.4,Great exposure to logistics and city operations.,Positive,2024-10-15,AmbitionBox
Dunzo,Rohit,HR,4.8,Empathetic leadership and flexible schedules.,Positive,2024-09-12,AmbitionBox
Dunzo,Chirag,Support,3.5,Good experience for entry-level roles.,Neutral,2024-11-20,Glassdoor
Dunzo,Priya,Support,2.8,Frequent layoffs and unclear roles.,Negative,2024-11-13,Indeed
Dunzo,Sakshi,Tech,2.1,Frequent layoffs and unclear roles.,Negative,2024-11-02,AmbitionBox
Dunzo,Nisha,Support,3.7,Average compensation but decent environment.,Neutral,2024-10-20,Indeed
Dunzo,Nisha,Delivery,2.8,High pressure during delivery expansion.,Negative,2024-09-14,Glassdoor
Dunzo,Sneha,Delivery,4.8,Transparent communication from top management.,Positive,2024-08-22,Indeed
Dunzo,Kritika,Operations,4.4,Great exposure to logistics and city operations.,Positive,2024-09-27,Indeed
Dunzo,Ishaan,Delivery,4.6,Good culture and collaborative teammates.,Positive,2024-08-31,Glassdoor
Dunzo,Kavya,Tech,3.3,Frequent changes in leadership.,Neutral,2024-10-22,AmbitionBox
Dunzo,Tanvi,Operations,3.2,Good experience for entry-level roles.,Neutral,2024-08-16,Glassdoor
