Company,Reviewer,Department,Rating,Review,Sentiment,Date,Source
Meesho,Kunal,Design,3.0,No clear direction for product roadmap.,Negative,2024-11-01,Glassdoor
Meesho,Vikram,Tech,2.1,Politics among senior management.,Negative,2024-08-06,AmbitionBox
Meesho,Tanya,Tech,4.0,Transparent culture and open communication.,Positive,2024-11-15,Indeed
Meesho,Anvi,Design,2.6,Unclear targets and too many meetings.,Negative,2024-08-09,Indeed
Meesho,Nikhil,Tech,1.8,Politics among senior management.,Negative,2024-08-08,Glassdoor
Meesho,Varun,Product,4.7,Good learning in social commerce domain.,Positive,2024-11-19,AmbitionBox
Meesho,Sarthak,Product,4.5,Friendly peers and supportive managers.,Positive,2024-08-05,Glassdoor
Meesho,Ritu,HR,4.7,Friendly peers and supportive managers.,Positive,2024-10-01,Indeed
Meesho,Tanvi,Product,1.9,Compensation not competitive.,Negative,2024-08-04,Glassdoor
Meesho,Ananya,Product,2.6,Politics among senior management.,Negative,2024-10-16,Glassdoor
Meesho,Diya,HR,3.0,Good exposure for beginners.,Neutral,2024-09-20,Glassdoor
Meesho,Rachit,Tech,4.5,Good learning in social commerce domain.,Positive,2024-10-31,Glassdoor
Meesho,Mehul,Tech,4.1,Transparent culture and open communication.,Positive,2024-10-28,Indeed
Meesho,Aditi,Tech,3.9,Average salary but flexible hours.,Neutral,2024-08-26,AmbitionBox
Meesho,Ritu,HR,3.4,Leadership vision is evolving.,Neutral,2024-09-16,Indeed
Meesho,Vikram,Tech,4.8,Work-life balance better than other startups.,Positive,2024-08-23,Indeed
Meesho,Diya,Tech,4.4,Friendly peers and supportive managers.,Positive,2024-11-09,Glassdoor
Meesho,Ritu,Marketing,2.9,No clear direction for product roadmap.,Negative,2024-08-11,Indeed
Meesho,Dev,Tech,2.8,Frequent layoffs create insecurity.,Negative,2024-11-24,AmbitionBox
Meesho,Ananya,Tech,4.4,Innovative team and very creative environment.,Positive,2024-10-20,Glassdoor
Meesho,Trisha,Marketing,2.0,Politics among senior management.,Negative,2024-11-03,Indeed
Meesho,Arjun,HR,2.5,No clear direction for product roadmap.,Negative,2024-11-20,Indeed
Meesho,Arjun,HR,3.3,Average salary but flexible hours.,Neutral,2024-08-15,Glassdoor
Meesho,Shreya,Product,2.4,Politics among senior management.,Negative,2024-10-14,AmbitionBox
Meesho,Sneha,Marketing,3.9,Moderate growth opportunities.,Neutral,2024-08-04,Indeed
Meesho,Pooja,Design,3.7,Frequent strategy changes.,Neutral,2024-10-14,Glassdoor
Meesho,Sarthak,Product,4.7,Good learning in social commerce domain.,Positive,2024-10-21,Indeed
Meesho,Tanya,Product,3.7,Moderate growth opportunities.,Neutral,2024-11-14,AmbitionBox
Meesho,Mohit,HR,3.1,Moderate growth opportunities.,Neutral,2024-09-15,AmbitionBox
Meesho,Sneha,HR,2.1,Frequent layoffs create insecurity.,Negative,2024-10-09,AmbitionBox
Meesho,Vikram,HR,3.5,Frequent strategy changes.,Neutral,2024-08-14,Glassdoor
Meesho,Trisha,Tech,4.3,Transparent culture and open communication.,Positive,2024-09-01,AmbitionBox
Meesho,Preeti,Product,4.5,Good learning in social commerce domain.,Positive,2024-10-06,Indeed
Meesho,Meena,Marketing,4.0,Innovative team and very creative environment.,Positive,2024-09-29,Indeed
Meesho,Avni,Product,4.4,Innovative team and very creative environment.,Positive,2024-11-02,Glassdoor
Meesho,Aman,Design,4.8,Innovative team and very creative environment.,Positive,2024-09-09,AmbitionBox
Meesho,Sneha,HR,3.8,Frequent strategy changes.,Neutral,2024-08-05,Glassdoor
Meesho,Diya,Design,4.6,Good learning in social commerce domain.,Positive,2024-09-09,AmbitionBox
Meesho,Gauri,Product,4.5,Innovative team and very creative environment.,Positive,2024-11-28,Glassdoor
Meesho,Tanya,Marketing,4.1,Innovative team and very creative environment.,Positive,2024-10-09,Indeed
Meesho,Nikhil,Tech,4.1,Good learning in social commerce domain.,Positive,2024-10-22,AmbitionBox
Meesho,Simran,Design,2.0,Frequent layoffs create insecurity.,Negative,2024-10-11,AmbitionBox
Meesho,Aarav,Product,3.5,Average salary but flexible hours.,Neutral,2024-10-04,AmbitionBox
Meesho,Tanvi,HR,4.8,Good learning in social commerce domain.,Positive,2024-09-08,Glassdoor
Meesho,Aman,HR,4.4,Innovative team and very creative environment.,Positive,2024-08-09,Indeed
Meesho,Mehul,Product,4.1,Work-life balance better than other startups.,Positive,2024-08-07,AmbitionBox
Meesho,Kunal,HR,4.2,Friendly peers and supportive managers.,Positive,2024-09-05,AmbitionBox
Meesho,Aditi,Tech,3.8,Frequent strategy changes.,Neutral,2024-09-29,Glassdoor
Meesho,Karan,Tech,4.5,Friendly peers and supportive managers.,Positive,2024-08-09,Indeed
Meesho,Trisha,Marketing,3.3,Moderate growth opportunities.,Neutral,2024-10-24,Glassdoor
Meesho,Aarav,Marketing,4.5,Innovative team and very creative environment.,Positive,2024-08-31,Indeed
Meesho,Kritika,Design,2.6,No clear direction for product roadmap.,Negative,2024-08-18,AmbitionBox
Meesho,Anvi,Marketing,2.8,Unclear targets and too many meetings.,Negative,2024-09-28,AmbitionBox
Meesho,Rahul,Tech,4.3,Work-life balance better than other startups.,Positive,2024-10-23,AmbitionBox
Meesho,Mehul,HR,2.9,Compensation not competitive.,Negative,2024-08-21,Glassdoor
