Company,Reviewer,Department,Rating,Review,Sentiment,Date,Source
Zomato,Neha,Marketing,2.3,Salaries below market average for effort.,Negative,2024-11-16,AmbitionBox
Zomato,Manish,Marketing,4.6,Energetic workplace with creative people.,Positive,2024-09-02,AmbitionBox
Zomato,Manish,Operations,1.9,Micromanagement in product divisions.,Negative,2024-11-21,Indeed
Zomato,Aman,Tech,4.0,Collaborative product and marketing teams.,Positive,2024-09-28,AmbitionBox
Zomato,Diya,Sales,4.8,Good opportunities to work on food-tech innovation.,Positive,2024-10-04,AmbitionBox
Zomato,Sarthak,Operations,4.9,Exposure to large-scale app operations.,Positive,2024-09-14,Glassdoor
Zomato,Ankit,Marketing,3.7,Pay is fair but management needs more stability.,Neutral,2024-08-19,Indeed
Zomato,Nisha,Operations,4.3,Good opportunities to work on food-tech innovation.,Positive,2024-11-18,Glassdoor
Zomato,Ritu,Marketing,4.3,Energetic workplace with creative people.,Positive,2024-10-01,Indeed
Zomato,Harsh,Marketing,4.7,Fun office culture and frequent learning sessions.,Positive,2024-10-16,Indeed
Zomato,Ankit,Operations,4.1,Energetic workplace with creative people.,Positive,2024-10-03,Indeed
Zomato,Aarav,Operations,2.8,Micromanagement in product divisions.,Negative,2024-10-28,Glassdoor
Zomato,Vikram,Operations,3.5,Workload depends heavily on product cycles.,Neutral,2024-09-05,AmbitionBox
Zomato,Preeti,HR,4.3,Fun office culture and frequent learning sessions.,Positive,2024-10-21,AmbitionBox
Zomato,Ankit,Marketing,4.8,Fun office culture and frequent learning sessions.,Positive,2024-11-21,Indeed
Zomato,Preeti,Marketing,2.9,Salaries below market average for effort.,Negative,2024-10-05,Indeed
Zomato,Varun,Tech,4.4,Exposure to large-scale app operations.,Positive,2024-10-10,Glassdoor
Zomato,Karan,Sales,4.4,Fun office culture and frequent learning sessions.,Positive,2024-09-13,Indeed
Zomato,Divya,Sales,4.5,Collaborative product and marketing teams.,Positive,2024-08-09,Glassdoor
Zomato,Divya,HR,2.0,Micromanagement in product divisions.,Negative,2024-09-27,AmbitionBox
Zomato,Shreya,Sales,2.8,Micromanagement in product divisions.,Negative,2024-09-15,AmbitionBox
Zomato,Yash,Sales,4.7,Collaborative product and marketing teams.,Positive,2024-08-29,Indeed
Zomato,Trisha,HR,1.9,Too many management changes recently.,Negative,2024-11-09,Indeed
Zomato,Ananya,Sales,2.0,Salaries below market average for effort.,Negative,2024-10-18,Glassdoor
Zomato,Mohit,Marketing,4.3,Fun office culture and frequent learning sessions.,Positive,2024-11-23,AmbitionBox
Zomato,Avni,Sales,5.0,Fun office culture and frequent learning sessions.,Positive,2024-10-24,Indeed
Zomato,Tanvi,Operations,3.5,Good learning but hectic deadlines.,Neutral,2024-11-18,AmbitionBox
Zomato,Neha,Tech,5.0,Fun office culture and frequent learning sessions.,Positive,2024-08-29,AmbitionBox
Zomato,Aman,Sales,3.2,Workload depends heavily on product cycles.,Neutral,2024-09-19,Indeed
Zomato,Preeti,Marketing,4.1,Good opportunities to work on food-tech innovation.,Positive,2024-08-13,Glassdoor
Zomato,Divya,Tech,4.2,Good opportunities to work on food-tech innovation.,Positive,2024-10-28,AmbitionBox
Zomato,Nikhil,Operations,5.0,Exposure to large-scale app operations.,Positive,2024-11-18,Glassdoor
Zomato,Bhavya,Sales,3.7,Good learning but hectic deadlines.,Neutral,2024-11-29,Glassdoor
Zomato,Neha,Tech,1.9,Micromanagement in product divisions.,Negative,2024-10-09,Indeed
Zomato,Tanya,Operations,4.6,Fun office culture and frequent learning sessions.,Positive,2024-09-06,Indeed
Zomato,Gauri,Sales,4.2,Good opportunities to work on food-tech innovation.,Positive,2024-09-12,Indeed
Zomato,Riya,Marketing,4.7,Good opportunities to work on food-tech innovation.,Positive,2024-09-26,Indeed
Zomato,Bhavya,Sales,3.5,Pay is fair but management needs more stability.,Neutral,2024-11-02,AmbitionBox
Zomato,Trisha,Tech,2.3,Too many management changes recently.,Negative,2024-08-17,Indeed
Zomato,Dev,Marketing,4.3,Collaborative product and marketing teams.,Positive,2024-09-17,Glassdoor
Zomato,Dev,Tech,4.1,Fun office culture and frequent learning sessions.,Positive,2024-08-27,Indeed
Zomato,Aarav,Sales,4.1,Good opportunities to work on food-tech innovation.,Positive,2024-10-11,Indeed
Zomato,Tanya,Sales,4.7,Fun office culture and frequent learning sessions.,Positive,2024-09-11,Glassdoor
Zomato,Alok,Tech,4.0,Exposure to large-scale app operations.,Positive,2024-10-04,Glassdoor
Zomato,Diya,Tech,2.3,Pressure during campaign seasons is unbearable.,Negative,2024-10-18,Glassdoor
Zomato,Rishabh,Tech,4.8,Collaborative product and marketing teams.,Positive,2024-11-26,Glassdoor
Zomato,Karan,Tech,4.8,Collaborative product and marketing teams.,Positive,2024-10-31,AmbitionBox
Zomato,Karan,Sales,4.1,Good opportunities to work on food-tech innovation.,Positive,2024-10-23,Indeed
Zomato,Bhavya,HR,2.0,Salaries below market average for effort.,Negative,2024-10-15,Indeed
Zomato,Varun,Tech,2.6,Late-night work culture is common.,Negative,2024-11-28,AmbitionBox
Zomato,Rohit,Operations,4.9,Fun office culture and frequent learning sessions.,Positive,2024-08-01,Glassdoor
Zomato,Tanya,Sales,2.0,Too many management changes recently.,Negative,2024-11-26,AmbitionBox
Zomato,Rishabh,HR,1.8,Pressure during campaign seasons is unbearable.,Negative,2024-11-13,AmbitionBox
Zomato,Kritika,HR,4.9,Exposure to large-scale app operations.,Positive,2024-08-07,Indeed
Zomato,Isha,HR,3.7,Workload depends heavily on product cycles.,Neutral,2024-10-09,Indeed
